Date,Name,Nationality,Cause of death,Mountain
27/07/2023,Muhammad Hassan,Pakistan,Unknown,K2
22/07/2022,Matthew Eakin,Australia,Fall,K2
22/07/2022,Richard Cartier,Canada,Fall,K2
21/07/2022,Ali Akbar Sakhi,Afghanistan,"Unknown, suspected altitude sickness",K2
25/07/2021,Rick Allen,United Kingdom,Avalanche,K2
05/02/2021,Ali Sadpara,Pakistan,"Froze to death in storm, remains found July 2021",K2
05/02/2021,Juan Pablo Mohr Prieto,Chile,"Froze to death in storm, remains found July 2021",K2
05/02/2021,John Snorri Sigurjónsson,Iceland,"Froze to death in storm, remains found July 2021",K2
05/02/2021,Atanas Skatov,Bulgaria,Fall during descent from Camp 3,K2
16/01/2021,Sergi Mingote,Spain,Fall during descent from Camp 1,K2
22/07/2018,Watanabe Kojiro,Japan,Fall during descent,K2
07/07/2018,Serge Dessureault,Canada,Fall,K2
30/07/2014,Miguel Ángel Pérez,Spain,"Unclear, likely altitude sickness",K2
27/07/2013,Marty Schmidt,New Zealand / United States,Avalanche,K2
27/07/2013,Denali Schmidt,New Zealand / United States,Avalanche,K2
06/02/2012,Vitaliy Gorelik,Russia,Frostbite,K2
06/08/2010,Fredrik Ericsson,Sweden,Fall from the Bottleneck,K2
17/07/2010,Petar Georgiev Unzhiev,Bulgaria,Altitude sickness,K2
23/06/2009,Michele Fait,Italy,Fall with skis,K2
02/08/2008,Hwang Dong-jin,South Korea,Fourth serac fall,K2
02/08/2008,Park Kyeong-hyo,South Korea,Fourth serac fall,K2
02/08/2008,Kim Hyo-gyung,South Korea,Fourth serac fall,K2
02/08/2008,Pasang Bhote,Nepal,Fourth serac fall,K2
02/08/2008,Jumic Bhote,Nepal,Fourth serac fall,K2
02/08/2008,Gerard McDonnell,Ireland,Second or third serac fall,K2
02/08/2008,Meherban Karim,Pakistan,Second or third serac fall,K2
02/08/2008,Hugues d'Aubarède,France,Fall during descent,K2
01/08/2008,Rolf Bae,Norway,First serac fall,K2
01/08/2008,Jahan Baig,Pakistan,Fall while trying to recover Mandić's corpse,K2
01/08/2008,Dren Mandić,Serbia,Fall during ascent,K2
20/07/2007,Stefano Zavka,Italy,Unknown (disappeared),K2
20/07/2007,Nima Nurbu,Nepal,Fall from the Bottleneck,K2
13/08/2006,Arkadi Kuvakin,Russia,Avalanche,K2
13/08/2006,Aleksandr Foigt,Russia,Avalanche,K2
13/08/2006,Piotr Kuznetsov,Russia,Avalanche,K2
13/08/2006,Yuri Uteshev,Russia,Avalanche,K2
19/08/2004,Manel de la Mata,Spain,Pulmonary edema,K2
02/08/2004,Dauoud Khadem Asl,Iran,"Lost in storm, presumed dead",K2
02/08/2004,Sergei Sokolov,Russia,"Lost in storm, presumed dead",K2
28/07/2004,Aleksandr Gubaev,Kyrgyzstan,Fall,K2
08/06/2004,Pae Kyong-kyu,South Korea,Avalanche,K2
08/06/2004,Kim Jae-koung,South Korea,Avalanche,K2
08/06/2004,Lee Hwa-hyeung,South Korea,Avalanche,K2
21/07/2003,Klaus-Dieter Grohs,Germany,Fall,K2
22/07/2002,Muhammad Iqbal,Pakistan,Fall,K2
13/07/2002,Sher Ajman,Pakistan,Avalanche,K2
22/07/2001,Park Young-do,South Korea,Fall,K2
10/07/1999,Mihai Cioroianu,Romania,Hit by rockfall,K2
14/08/1996,Igor Benkin,Russia,Exhaustion,K2
29/07/1996,Lorenzo Mazzoleni,Italy,Fall,K2
15/08/1995,Jeff Lakes,Canada,Exhaustion,K2
13/08/1995,Bruce Grant,New Zealand,Killed in a storm,K2
13/08/1995,Rob Slater,United States,Killed in a storm,K2
13/08/1995,Alison Hargreaves,United Kingdom,Killed in a storm,K2
13/08/1995,Javier Escartin,Spain,Killed in a storm,K2
13/08/1995,Javier Olivar,Spain,Killed in a storm,K2
13/08/1995,Lorenzo Ortiz,Spain,Killed in a storm,K2
06/07/1995,Jordi Anglès,Spain,Fall,K2
11/08/1994,"Juan Antonio ""Atxo"" Apellániz",Spain,HACE,K2
24/07/1994,Steve Untch,United States,Fall from broken rope,K2
10/07/1994,Dmitri Ibragim-Zade,Ukraine,Killed in a storm,K2
10/07/1994,Aleksandr Parkhomenko,Ukraine,Killed in a storm,K2
10/07/1994,Aleksei Kharaldin,Ukraine,Killed in a storm,K2
31/07/1993,Daniel Bidner,Sweden,"Altitude sickness, fall",K2
30/07/1993,Reinmar Joswig,Germany,Fall,K2
30/07/1993,Peter Mezger,Germany,Fall,K2
07/07/1993,Dan Culver,Canada,Fall,K2
15/06/1993,Boštjan Kekec,Slovenia,Altitude sickness,K2
14/08/1992,Adrián Benítez,Mexico,Fall,K2
28/07/1989,Hans Bärnthaler,Austria,Avalanche,K2
24/08/1987,Suzuki Akira,Japan,Fall,K2
10/08/1986,Dobrosława Miodowicz-Wolf,Poland,Exhaustion,K2
10/08/1986,Alfred Imitzer,Austria,Altitude sickness,K2
10/08/1986,Hannes Wieser,Austria,Altitude sickness,K2
10/08/1986,Alan Rouse,United Kingdom,Altitude sickness,K2
07/08/1986,Julie Tullis,United Kingdom,Altitude sickness,K2
04/08/1986,Mohammad Ali,Pakistan,Stonefall,K2
03/08/1986,Wojciech Wróż [pl],Poland,Fall,K2
16/07/1986,Renato Casarotto,Italy,Fall into crevasse,K2
10/07/1986,Tadeusz Piotrowski,Poland,Fall,K2
24/06/1986,Maurice Barrard,France,"Disappeared, remains found in 1998 near Camp 1",K2
24/06/1986,Liliane Barrard,France,"Disappeared, remains found July 19, 1986, near the South Face",K2
21/06/1986,John Smolich,United States,Avalanche,K2
21/06/1986,Alan Pennington,United States,Avalanche,K2
07/07/1985,Daniel Lacroix,France,Unknown (disappeared),K2
15/08/1982,Yanagisawa Yukihiro,Japan,Fall,K2
30/07/1982,Halina Krüger-Syrokomska,Poland,Stroke,K2
19/08/1979,Laskhar Khan,Pakistan,Stroke,K2
09/06/1979,"Ali, Son of Kazim",Pakistan,Fall into crevasse,K2
12/06/1978,Nick Estcourt,United Kingdom,Avalanche,K2
21/06/1954,Mario Puchoz,Italy,Pneumonia,K2
10/08/1953,Art Gilkey,United States,Avalanche,K2
31/07/1939,Pasang Kikuli,Nepal,Unknown (disappeared),K2
31/07/1939,Pasang Kitar,Nepal,Unknown (disappeared),K2
31/07/1939,Pintso,Nepal,Unknown (disappeared),K2
30/07/1939,Dudley Wolfe,United States,"Altitude sickness, severe dehydration",K2
25/05/2023,Luis Stitzinger,Germany,Unknown,Kangchenjunga
05/05/2022,Narayanan Iyer,India,Altitude sickness,Kangchenjunga
16/05/2019,Biplab Baidya,India,"Exposure, frostbite",Kangchenjunga
16/05/2019,Kuntal Kanrar,India,"Exposure, frostbite",Kangchenjunga
